Date,Nifty,CPI,Gold,VIX,USDINR,GDP,RepoRate
2013-01-04,6016.1,104.6,88548.0,13.47,54.498001,1897753.90625,8.0
2013-01-11,5951.3,104.6,88548.0,13.27,54.557999,1897753.90625,8.0
2013-01-18,6064.4,104.6,88548.0,14.01,54.348,1897753.90625,8.0
2013-01-25,6074.6,104.6,88548.0,14.46,53.678001,1897753.90625,8.0
2013-02-01,5998.9,105.3,86422.3,14.13,53.213001,1897753.90625,7.75
2013-02-08,5903.5,105.3,86422.3,14.89,53.217999,1897753.90625,7.75
2013-02-15,5887.4,105.3,86422.3,15.09,53.917999,1897753.90625,7.75
2013-02-22,5850.3,105.3,86422.3,16.94,54.467999,1897753.90625,7.75
2013-03-01,5719.7,105.5,86864.9,14.86,54.362999,1897753.90625,7.75
2013-03-08,5945.7,105.5,86864.9,12.85,54.557999,1897753.90625,7.75
2013-03-15,5872.6,105.5,86864.9,14.66,54.353001,1897753.90625,7.75
2013-03-22,5651.3,105.5,86864.9,16.51,54.278,1897753.90625,7.5
2013-03-29,5682.5,105.5,86864.9,15.8,54.388,1897753.90625,7.5
2013-04-05,5553.2,106.1,79142.4,15.85,54.882999,1805692.307692308,7.5
2013-04-12,5528.5,106.1,79142.4,16.97,54.298,1805692.307692308,7.5
2013-04-19,5783.1,106.1,79142.4,16.36,54.022999,1805692.307692308,7.5
2013-04-26,5871.4,106.1,79142.4,14.6,54.217999,1805692.307692308,7.5
2013-05-03,5944.0,106.9,78768.3,16.28,53.807999,1805692.307692308,7.25
2013-05-10,6094.7,106.9,78768.3,16.6,54.248001,1805692.307692308,7.25
2013-05-17,6187.3,106.9,78768.3,17.74,54.778,1805692.307692308,7.25
2013-05-24,5983.5,106.9,78768.3,18.73,55.708,1805692.307692308,7.25
2013-05-31,5985.9,106.9,78768.3,16.04,56.377998,1805692.307692308,7.25
2013-06-07,5881.0,109.3,70834.6,17.35,56.838001,1805692.307692308,7.25
2013-06-14,5808.4,109.3,70834.6,19.44,57.998001,1805692.307692308,7.25
2013-06-21,5667.6,109.3,70834.6,19.19,59.568001,1805692.307692308,7.25
2013-06-28,5842.2,109.3,70834.6,18.85,60.188,1805692.307692308,7.25
2013-07-05,5867.9,111.0,79928.2,18.58,60.174999,1813138.5216346155,7.25
2013-07-12,6009.0,111.0,79928.2,18.89,59.827,1813138.5216346155,7.25
2013-07-19,6029.2,111.0,79928.2,18.27,59.737999,1813138.5216346155,7.25
2013-07-26,5886.2,111.0,79928.2,16.54,58.958,1813138.5216346155,7.25
2013-08-02,5677.9,112.4,92151.1,19.81,60.432999,1813138.5216346155,7.25
2013-08-09,5565.6,112.4,92151.1,22.04,60.723999,1813138.5216346155,7.25
2013-08-16,5507.8,112.4,92151.1,18.7,61.259998,1813138.5216346155,7.25
2013-08-23,5471.7,112.4,92151.1,27.68,64.410004,1813138.5216346155,7.25
2013-08-30,5471.8,112.4,92151.1,29.41,67.389999,1813138.5216346155,7.25
2013-09-06,5680.4,113.7,83045.5,28.53,66.008003,1813138.5216346155,7.25
2013-09-13,5850.6,113.7,83045.5,29.71,63.619999,1813138.5216346155,7.25
2013-09-20,6012.1,113.7,83045.5,24.5,62.189999,1813138.5216346155,7.5
2013-09-27,5833.2,113.7,83045.5,24.0,61.73,1813138.5216346155,7.5
2013-10-04,5907.3,114.8,81366.4,24.5,61.959999,1921538.4615384613,7.5
2013-10-11,6096.2,114.8,81366.4,23.08,61.610001,1921538.4615384613,7.5
2013-10-18,6189.3,114.8,81366.4,21.06,61.099998,1921538.4615384613,7.5
2013-10-25,6144.9,114.8,81366.4,20.64,61.450001,1921538.4615384613,7.5
2013-11-01,6307.2,116.3,78300.0,18.39,62.220001,1921538.4615384613,7.75
2013-11-08,6140.7,116.3,78300.0,19.87,62.849998,1921538.4615384613,7.75
2013-11-15,6056.1,116.3,78300.0,18.62,63.040001,1921538.4615384613,7.75
2013-11-22,5995.4,116.3,78300.0,21.14,62.990002,1921538.4615384613,7.75
2013-11-29,6176.1,116.3,78300.0,20.37,62.412998,1921538.4615384613,7.75
2013-12-06,6259.9,114.5,74504.3,21.68,61.580002,1921538.4615384613,7.75
2013-12-13,6168.4,114.5,74504.3,16.79,62.16,1921538.4615384613,7.75
2013-12-20,6274.2,114.5,74504.3,16.58,62.459999,1921538.4615384613,7.75
2013-12-27,6313.8,114.5,74504.3,14.88,61.889999,1921538.4615384613,7.75
2014-01-03,6211.1,113.6,78381.4,16.55,62.060001,1999153.8461538465,7.75
2014-01-10,6171.4,113.6,78381.4,16.18,61.779999,1999153.8461538465,7.75
2014-01-17,6261.6,113.6,78381.4,15.54,61.419998,1999153.8461538465,7.75
2014-01-24,6266.7,113.6,78381.4,15.58,62.130001,1999153.8461538465,7.75
2014-01-31,6089.5,113.6,78381.4,17.25,62.310001,1999153.8461538465,8.0
2014-02-07,6063.2,113.6,82216.5,18.94,62.23,1999153.8461538465,8.0
2014-02-14,6048.3,113.6,82216.5,17.8,62.150002,1999153.8461538465,8.0
2014-02-21,6155.4,113.6,82216.5,15.16,62.130001,1999153.8461538465,8.0
2014-02-28,6276.9,113.6,82216.5,13.955,62.02,1999153.8461538465,8.0
2014-03-07,6526.6,114.2,77146.5,14.475,60.799999,1999153.8461538465,8.0
2014-03-14,6504.2,114.2,77146.5,16.82,61.459999,1999153.8461538465,8.0
2014-03-21,6493.2,114.2,77146.5,16.91,61.333,1999153.8461538465,8.0
2014-03-28,6695.9,114.2,77146.5,18.3725,60.237999,1999153.8461538465,8.0
2014-04-04,6694.3,115.1,77715.9,22.1075,60.389999,1950576.923076923,8.0
2014-04-11,6776.3,115.1,77715.9,28.7175,60.299999,1950576.923076923,8.0
2014-04-18,6779.4,115.1,77715.9,31.16,60.290001,1950576.923076923,8.0
2014-04-25,6782.7,115.1,77715.9,31.1325,61.119999,1950576.923076923,8.0
2014-05-02,6694.8,115.8,73892.0,30.5925,60.139999,1950576.923076923,8.0
2014-05-09,6858.8,115.8,73892.0,34.3,59.93,1950576.923076923,8.0
2014-05-16,7203.0,115.8,73892.0,36.765,59.330002,1950576.923076923,8.0
2014-05-23,7367.1,115.8,73892.0,17.835,58.278,1950576.923076923,8.0
2014-05-30,7229.9,115.8,73892.0,16.69,58.900002,1950576.923076923,8.0
2014-06-06,7583.4,116.7,79090.7,15.4475,59.162998,1950576.923076923,8.0
2014-06-13,7542.1,116.7,79090.7,16.9025,59.287998,1950576.923076923,8.0
2014-06-20,7511.4,116.7,79090.7,18.7425,60.16,1950576.923076923,8.0
2014-06-27,7508.8,116.7,79090.7,17.7025,60.080002,1950576.923076923,8.0
2014-07-04,7751.6,119.2,77786.5,17.805,59.610001,1970953.876201923,8.0
2014-07-11,7459.6,119.2,77786.5,15.965,60.188,1970953.876201923,8.0
2014-07-18,7663.9,119.2,77786.5,14.965,60.599998,1970953.876201923,8.0
2014-07-25,7790.4,119.2,77786.5,14.72,60.060001,1970953.876201923,8.0
2014-08-01,7602.6,120.3,78019.3,13.8225,60.77,1970953.876201923,8.0
2014-08-08,7568.5,120.3,78019.3,14.1375,61.237999,1970953.876201923,8.0
2014-08-15,7791.7,120.3,78019.3,13.7625,60.639999,1970953.876201923,8.0
2014-08-22,7913.2,120.3,78019.3,13.7325,60.439999,1970953.876201923,8.0
2014-08-29,7954.3,120.3,78019.3,13.0625,60.610001,1970953.876201923,8.0
2014-09-05,8086.8,120.1,75131.0,13.0775,60.369999,1970953.876201923,8.0
2014-09-12,8105.5,120.1,75131.0,12.5175,60.810001,1970953.876201923,8.0
2014-09-19,8121.4,120.1,75131.0,12.325,60.689999,1970953.876201923,8.0
2014-09-26,7968.8,120.1,75131.0,13.2975,61.490002,1970953.876201923,8.0
2014-10-03,7945.5,120.1,71484.9,13.145,61.439999,2035346.1538461533,8.0
2014-10-10,7859.9,120.1,71484.9,13.155,61.02,2035346.1538461533,8.0
2014-10-17,7779.7,120.1,71484.9,16.4325,61.723,2035346.1538461533,8.0
2014-10-24,8014.5,120.1,71484.9,13.03,61.130001,2035346.1538461533,8.0
2014-10-31,8322.2,120.1,71484.9,13.265,61.432999,2035346.1538461533,8.0
2014-11-07,8337.0,120.1,73395.5,13.755,61.493,2035346.1538461533,8.0
2014-11-14,8389.9,120.1,73395.5,13.8,61.592999,2035346.1538461533,8.0
2014-11-21,8477.3,120.1,73395.5,14.165,61.923,2035346.1538461533,8.0
2014-11-28,8588.2,120.1,73395.5,12.7425,61.853001,2035346.1538461533,8.0
2014-12-05,8538.3,119.4,76125.7,12.445,61.783001,2035346.1538461533,8.0
2014-12-12,8224.1,119.4,76125.7,12.7725,62.473,2035346.1538461533,8.0
2014-12-19,8225.2,119.4,76125.7,14.5975,62.983002,2035346.1538461533,8.0
2014-12-26,8200.7,119.4,76125.7,15.07,63.513,2035346.1538461533,8.0
2015-01-02,8395.4,119.5,78053.6,15.025,63.028,2141330.829326923,8.0
2015-01-09,8284.5,119.5,78053.6,16.4725,62.667999,2141330.829326923,8.0
2015-01-16,8513.8,119.5,78053.6,16.16,62.057999,2141330.829326923,7.75
2015-01-23,8835.6,119.5,78053.6,18.565,61.598,2141330.829326923,7.75
2015-01-30,8808.9,119.5,78053.6,19.4325,61.796001,2141330.829326923,7.75
2015-02-06,8661.0,119.7,75031.3,20.615,61.733002,2141330.829326923,7.75
2015-02-13,8805.5,119.7,75031.3,20.1575,62.169998,2141330.829326923,7.75
2015-02-20,8833.6,119.7,75031.3,20.3975,62.165001,2141330.829326923,7.75
2015-02-27,8844.6,119.7,75031.3,20.58,61.754002,2141330.829326923,7.75
2015-03-06,8937.7,120.2,74283.9,15.1975,62.443001,2141330.829326923,7.5
2015-03-13,8647.7,120.2,74283.9,14.75,62.535,2141330.829326923,7.5
2015-03-20,8570.9,120.2,74283.9,15.1975,62.483002,2141330.829326923,7.5
2015-03-27,8341.4,120.2,74283.9,15.1625,62.828999,2141330.829326923,7.5
2015-04-03,8586.2,120.7,74963.6,14.4925,62.060001,2098676.983173077,7.5
2015-04-10,8780.3,120.7,74963.6,14.4175,62.313999,2098676.983173077,7.5
2015-04-17,8606.0,120.7,74963.6,14.95,62.326,2098676.983173077,7.5
2015-04-24,8305.2,120.7,74963.6,18.5,63.286999,2098676.983173077,7.5
2015-05-01,8181.5,121.6,76090.2,17.235,63.522999,2098676.983173077,7.5
2015-05-08,8191.5,121.6,76090.2,19.65,64.082001,2098676.983173077,7.5
2015-05-15,8262.3,121.6,76090.2,20.7,63.408001,2098676.983173077,7.5
2015-05-22,8458.9,121.6,76090.2,17.4125,63.625999,2098676.983173077,7.5
2015-05-29,8433.6,121.6,76090.2,17.1325,63.825001,2098676.983173077,7.5
2015-06-05,8114.7,123.0,74569.3,18.1225,64.000999,2098676.983173077,7.25
2015-06-12,7982.9,123.0,74569.3,17.805,63.999001,2098676.983173077,7.25
2015-06-19,8224.9,123.0,74569.3,16.015,63.645,2098676.983173077,7.25
2015-06-26,8381.1,123.0,74569.3,15.93,63.511002,2098676.983173077,7.25
2015-07-03,8484.9,123.6,70427.4,15.5575,63.369999,2129300.030048077,7.25
2015-07-10,8360.5,123.6,70427.4,17.4375,63.363998,2129300.030048077,7.25
2015-07-17,8609.8,123.6,70427.4,14.7825,63.481998,2129300.030048077,7.25
2015-07-24,8521.5,123.6,70427.4,15.52,63.848,2129300.030048077,7.25
2015-07-31,8532.8,123.6,70427.4,15.325,64.117996,2129300.030048077,7.25
2015-08-07,8564.6,124.8,75449.1,14.73,63.733002,2129300.030048077,7.25
2015-08-14,8518.5,124.8,75449.1,17.0175,65.268997,2129300.030048077,7.25
2015-08-21,8299.9,124.8,75449.1,16.975,65.460999,2129300.030048077,7.25
2015-08-28,8001.9,124.8,75449.1,22.0425,66.055,2129300.030048077,7.25
2015-09-04,7655.0,125.4,73123.0,24.115,66.160004,2129300.030048077,7.25
2015-09-11,7789.3,125.4,73123.0,24.745,66.319,2129300.030048077,7.25
2015-09-18,7981.9,125.4,73123.0,21.9975,66.122002,2129300.030048077,7.25
2015-09-25,7868.5,125.4,73123.0,20.6875,66.221001,2129300.030048077,7.25
2015-10-02,7950.9,126.1,74646.8,19.625,65.617996,2181838.4915865385,6.75
2015-10-09,8189.7,126.1,74646.8,19.5625,64.995003,2181838.4915865385,6.75
2015-10-16,8238.1,126.1,74646.8,17.17,64.783997,2181838.4915865385,6.75
2015-10-23,8295.4,126.1,74646.8,16.6225,65.050003,2181838.4915865385,6.75
2015-10-30,8065.8,126.1,74646.8,17.5825,65.444,2181838.4915865385,6.75
2015-11-06,7954.3,126.6,70780.9,19.2925,65.860001,2181838.4915865385,6.75
2015-11-13,7762.2,126.6,70780.9,16.905,66.047997,2181838.4915865385,6.75
2015-11-20,7856.5,126.6,70780.9,15.84,66.084999,2181838.4915865385,6.75
2015-11-27,7942.7,126.6,70780.9,16.6875,66.557999,2181838.4915865385,6.75
2015-12-04,7781.9,126.1,70125.6,16.055,66.803001,2181838.4915865385,6.75
2015-12-11,7610.4,126.1,70125.6,16.2925,66.786003,2181838.4915865385,6.75
2015-12-18,7761.9,126.1,70125.6,14.215,66.459,2181838.4915865385,6.75
2015-12-25,7861.0,126.1,70125.6,13.6525,65.940002,2181838.4915865385,6.75
2016-01-01,7963.2,126.3,75466.2,13.87,66.193001,2335953.876201923,6.75
2016-01-08,7601.3,126.3,75466.2,18.96,66.920998,2335953.876201923,6.75
2016-01-15,7437.8,126.3,75466.2,18.605,67.304001,2335953.876201923,6.75
2016-01-22,7422.4,126.3,75466.2,20.8125,67.807999,2335953.876201923,6.75
2016-01-29,7563.5,126.3,75466.2,17.9,68.093002,2335953.876201923,6.75
2016-02-05,7489.1,126.0,84498.0,18.2075,67.564003,2335953.876201923,6.75
2016-02-12,6980.9,126.0,84498.0,25.965,68.473999,2335953.876201923,6.75
2016-02-19,7210.7,126.0,84498.0,21.485,68.566002,2335953.876201923,6.75
2016-02-26,7029.7,126.0,84498.0,22.745,68.796997,2335953.876201923,6.75
2016-03-04,7485.3,126.0,81917.2,18.04,67.142998,2335953.876201923,6.75
2016-03-11,7510.2,126.0,81917.2,17.895,67.308998,2335953.876201923,6.75
2016-03-18,7604.3,126.0,81917.2,16.84,66.612,2335953.876201923,6.75
2016-03-25,7716.5,126.0,81917.2,16.43,66.906998,2335953.876201923,6.75
2016-04-01,7713.0,127.3,85277.1,16.5825,66.248001,2280838.4915865385,6.75
2016-04-08,7555.2,127.3,85277.1,16.935,66.778999,2280838.4915865385,6.5
2016-04-15,7850.4,127.3,85277.1,16.025,66.637001,2280838.4915865385,6.5
2016-04-22,7899.3,127.3,85277.1,16.5125,66.512001,2280838.4915865385,6.5
2016-04-29,7849.8,127.3,85277.1,16.5975,66.438004,2280838.4915865385,6.5
2016-05-06,7733.4,128.6,81556.1,17.17,66.601997,2280838.4915865385,6.5
2016-05-13,7814.9,128.6,81556.1,16.3275,66.750999,2280838.4915865385,6.5
2016-05-20,7749.7,128.6,81556.1,17.0625,67.476997,2280838.4915865385,6.5
2016-05-27,8156.6,128.6,81556.1,15.325,66.954002,2280838.4915865385,6.5
2016-06-03,8220.8,130.1,89144.0,15.0875,67.292,2280838.4915865385,6.5
2016-06-10,8170.0,130.1,89144.0,15.6725,66.740997,2280838.4915865385,6.5
2016-06-17,8170.2,130.1,89144.0,17.6975,67.306999,2280838.4915865385,6.5
2016-06-24,8088.6,130.1,89144.0,18.02,67.241997,2280838.4915865385,6.5
2016-07-01,8328.3,131.1,89893.9,16.29,67.500999,2335199.969951923,6.5
2016-07-08,8323.2,131.1,89893.9,15.3075,67.497002,2335199.969951923,6.5
2016-07-15,8541.4,131.1,89893.9,15.61,66.837997,2335199.969951923,6.5
2016-07-22,8541.2,131.1,89893.9,15.7125,67.153999,2335199.969951923,6.5
2016-07-29,8638.5,131.1,89893.9,15.1475,67.007004,2335199.969951923,6.5
2016-08-05,8683.1,131.1,87680.5,15.14,66.841003,2335199.969951923,6.5
2016-08-12,8672.1,131.1,87680.5,14.2125,66.739998,2335199.969951923,6.5
2016-08-19,8666.9,131.1,87680.5,14.55,66.82,2335199.969951923,6.5
2016-08-26,8572.5,131.1,87680.5,13.285,67.0056,2335199.969951923,6.5
2016-09-02,8809.6,130.9,88052.0,13.34,66.792999,2335199.969951923,6.5
2016-09-09,8866.7,130.9,88052.0,13.115,66.449997,2335199.969951923,6.5
2016-09-16,8779.8,130.9,88052.0,14.6775,66.850304,2335199.969951923,6.5
2016-09-23,8831.5,130.9,88052.0,13.34,66.622597,2335199.969951923,6.5
2016-09-30,8611.1,130.9,88052.0,18.45,66.816299,2335199.969951923,6.5
2016-10-07,8697.6,131.4,84952.4,14.835,66.687103,2368938.4014423075,6.25
2016-10-14,8583.4,131.4,84952.4,15.425,66.783997,2368938.4014423075,6.25
2016-10-21,8693.0,131.4,84952.4,14.165,66.841301,2368938.4014423075,6.25
2016-10-28,8638.0,131.4,84952.4,14.085,66.903,2368938.4014423075,6.25
